Category,Name,AppointmentDate,La,Lo,Place,Notes,Degree
Conservation,Ann M. Baldwin,,41.026242,-73.628196,Greenwich Studios,Paper Conservator,Certificate in Conservation 1998
Education,Jennifer L. Ball,,40.630942,-73.950582,"Brooklyn College, CUNY","Associate Professor, Art Department",PhD 2001
Conservation,Mary W. Ballard,,,,Smithsonian Institution,"Senior Textile Conservator, Center for Materials Research & Education",Certificate in Conservation 1979
Curatorial,Andaleeb Badiee Banta,,,,The Allen Memorial Art Museum,Curator of European & American Art,PhD 2007
Conservation,Sarah Barack,,,,Institute of Fine Arts,Adjunct Faculty ,Certificate in Conservation 2003
Education,Sarah Barack,,,,Institute of Fine Arts,Adjunct Faculty ,Certificate in Conservation 2003
Miscellaneous,Birjees Barakat,,40.763668,-73.974802,Kohlberg Kravis Roberts & Co.,Executive Assistant to John Saer,PhD 1984
Education,Mary Lee Baranger,,41.021205,-73.709653,Manhattanville College,Professor,PhD 1960
Conservation,Daphne S. Barbour,,,,National Gallery of Art,Senior Objects Conservator,Certificate in Conservation 1988
Education,William Lee Barcham,,,,Fashion Institute of Technology,Professor,PhD 1983
Education,Julianna Maria Bark,,,,"Webster University, Switzerland",,PhD 2009
Non-profit Arts Administration,Elizabeth Ellen Barke,,,,Boston Athenæum,Stanford Calderwood Director,PhD 2003
Miscellaneous,Susan Johnston Barnes,,,,St. Matthew's Episcopal Church,Senior Associate Rector,PhD 1986
Miscellaneous,Robert A. Baron,,,,,Photographer,MA 1968
Conservation,Elisabeth Lauren Barro,,,,Metropolitan Museum of Art,Assistant Conservator of Photographs,Certificate in Conservation 2002
Education,Beryl Barr-Sharrar,,,,Institute of Fine Arts,Adjunct Professor/Art Historian,PhD 1980
Conservation,Julie K. Barten,,,,Solomon R. Guggenheim Museum,Senior Conservator,Certificate in Conservation 1993
For-profit Arts Profession,Dorothea L. Basile,,40.678746,-73.999211,ARTime,Director,MA 1988
Education,Miriam Basilio,,,,New York University,Assistant Professor/Faculty Fellow,PhD 2002
Education,Linda Freeman Bauer,,,,"University of California, Irvine",Professor,1975
Non-profit Arts Administration,Ms. Caroline  Baumann,,,,Cooper-Hewitt,Director,MA 1990
Conservation,Kenneth Be,,41.246108,-95.960385,Gerald R. Ford Conservation Center,Head of Paintings Conservation,Certificate in Conservation 1987
Education,Madeleine Fidell Beaufort,,,,American University of Paris,"Professor, Art History Department",MA 1968
Conservation,Lawrence G. Becker,,,,Metropolitan Museum of Art,"Conservator in Charge, Sherman Fairchild Center for Objects Conservation",Certificate in Conservation 1982
Conservation,Deborah Bede,,43.266804,-71.934085,"Stillwater Textile Conservation Studio, LLC",,Certificate in Conservation 1982
Curatorial,"Daniel M. Belasco, Ph.D.",,41.741106,-74.083439,Samuel Dorsky Museum of Art,Curator of Exhibitions and Programs,PhD 2008
Non-profit Arts Administration,Katherine Krupp Benardo,,,,Museum of Modern Art,Product Developer,MA 1991
Conservation, Wendy A. Bennett,,40.444457,-79.918172,Wendy Bennett Fine Art Paper Conservation,,Certificate in Conservation 1985
Curatorial,Brian William Bentley,,,,Brooklyn Museum,Curatorial Assistant,MA 2013
Education,Michelle Lita Berenfeld,,,,Pitzer College,"Assistant Professor, Department of Classics",PhD 2002
Education,Patricia G. Berman,,,,Wellesley College,Professor of Art History,PhD 1989
Education,Jo Anne G. Bernstein,,,,Mills College,Professor of Art History,1964
Education,Aimee Bessire,,,,Maine College of Art,Assistant Professor of Art History,MA 1991
Education,Laurel Diane Bestock,,,,Brown University,Professor,PhD 2004
Education,William E. Betsch,,,,University of Miami,"Professor, Department of Art & Art History",PhD 1967
Curatorial,Carol Manson Bier,,,,The Textile Museum,Research Associate,1977
Education,Emily Ida Bills,,34.213625,-118.348821,Woodbury University,Adjunct Faculty ,PhD 2006
Non-profit Arts Administration,Emily Ida Bills,,34.213625,-118.348821,Woodbury University,Director of the Woodbury School of Architecture,PhD 2006
Education,Heather L. Birdsall,,,,McElroy Tutoring,Tutor,MA 2011
Education,Ellen R. Birnbaum,,40.783062,-73.95268,92nd Street Y Nursery School,Associate Director,MA 1991
Curatorial,Jennifer M. Blessing,,,,Solomon R. Guggenheim Museum,Project Curator,MA 1990
Non-profit Arts Administration,Arthur R. Blumenthal,,,,Cornell Fine Arts Museum,Director Emeritus,PhD 1984
Miscellaneous,Gwendolyn Boeve-Jones,,52.112358,4.359206,Redivivus BV,Director,Certificate in Conservation 1994
Public Relations and Marketing,Caroline Boillod,,40.762175,-73.972862,Brevan Howard US LLC,Marketer,MA 2002
Insurance,,,,,,,
Public Relations and Marketing,,,,,,,
"Editors, Writers or Publishers",,,,,,,
Critics,,,,,,,
Art Law,,,,,,,
Education,"Carol Radcliffe Bolon, Ph.D.",,,,Fairfax County Public Schools,High School Teacher,PhD 1981
For-profit Arts Profession,Virginia Anne Bonito,,40.860903,-73.854685,The Mnemosyne Foundation,Founder and CEO,1983
Education,Sonya Gale Bonneau,,,,Georgetown University Law Center,"Associate Professor, Legal Research and Writing",MA 1992
For-profit Arts Profession,Kathryn W. Bonomi,,41.135149,-73.791739,Jacob Burns Film Center,Independent Film Programmer,MA 1988
Curatorial,Suzanne R. Boorsch,,,,Yale University Art Gallery,"Curator, Prints, Drawings, and Photographs",MA 1975
Education,Eve Borsook,,,,Villa I Tatti,"Research Associate, Harvard Center for Renaissance Studies",1954
Curatorial,Edgar P. Bowron,,,,"The Museum of Fine Arts, Houston",Curator of European Art,MA 1969
Curatorial,Dr. Laurel E. Bradley,,,,Carleton College Art Gallery,Director of Exhibitions and Curator,PhD 1996
Non-profit Arts Administration,Dr. Laurel E. Bradley,,,,Carleton College Art Gallery,Director of Exhibitions and Curator,PhD 1996
Curatorial,Ms. Jeanne Brako,,,,"Fort Lewis College, Center for Southwest Studies",Curator of Collections & Public Programs,Certificate in Conservation 2002
Education,"Mary K. Brantl, Ph.D.",,,,St. Edward's University,Art Historian,PhD 1998
Non-profit Arts Administration,Louise Tharaud Brasher,,33.521755,-86.810297,Birmingham Museum of Art,Assistant Curator of Education/Coordinator for Disabilities,MA 1981
Education,Dr. Emily F. Braun,,,,"Hunter College, CUNY","Professor, Art History Department",PhD 1991
Non-profit Arts Administration,Ms. Catherine Coleman Brawer,,,,Ida & William Rosenthal Foundation,President,MA 1966
Curatorial,Katherine Mary Brinson,,,,Solomon R. Guggenheim Museum,"Curator, Contemporary Art",MA 2005
Non-profit Arts Administration,Marcia E. Brocklebank,,38.81925,-77.047467,Art Services International,U.K. Representative,MA 1963
Education,Joyce G. Brodsky,,,,"University of California, Santa Cruz","Prof, Department of Art",1958
Curatorial,"Lisa R. Brody, Ph.D.",,,,Yale University Art Gallery,Associate Curator of Ancient Art,PhD 1999
Education,"Sarah Tyler Brooks, Ph.D.",,,,James Madison University,"Assistant Professor, School of Art and Art History",PhD 2002
Conservation,Lynn B. Brostoff,,,,Library of Congress,"Research Chemist, Preservation Research and Testing Division",Certificate in Conservation 1987
For-profit Arts Profession,Michelle Ilana Brown,,,,Sotheby's,,MA 2012
Conservation,Karl D. Buchberg,,,,Museum of Modern Art,Senior Conservator,Certificate in Conservation 1984
For-profit Arts Profession,"Robert T. Buck, Jr.",,,,Marlborough Gallery,Director,MA 1965
Curatorial,"Rosina Buckland, Ph.D.",,,,National Museum of Scotland,"Senior Curator, East and Central Asia",PhD 2008
Critics,Dr. Ariella G. Budick,,40.746334,-73.982464,Newsday,Art Critic,PhD 1996
Conservation,Friederike C. Buehler-Steckling,,,,Fondation Beyeler,Conservator,Certificate in Conservation 1998
Curatorial,Emma Cadwalader Bunker,,,,Denver Art Museum,Research Consultant,MA 1962
For-profit Arts Profession,Jennifer G. Buonocore,,,,LMN Arts,Gallery Assistant,MA 2012
Curatorial,Dr. Marcus B. Burke,,,,The Hispanic Society of America,"Curator, Ptgs., Drawings & Metalwork",PhD 1984
Education,"Olga Bush, Ph.D.",,,,Vassar College,Adjunct Assistant Professor in Art,"MA '94, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
For-profit Arts Profession,Dr. Andrew W. Butterfield,,,,"Andrew Butterfield Fine Arts, LLC", ,"MA '86, IFA (GSAS/Fine Arts); PHD '92, IFA (GSAS/History of Art and Archaeology)"
Education,Dr. Walter B. Cahn,,,,Yale Unversity,Professor Emeritus,"MA '61, IFA (GSAS/Fine Arts)"
Curatorial,Dr. Marietta Cambareri,,,,Museum of Fine Arts,Sculpture Curator,"BA '82, WSC; XX '85, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
Conservation,Rebecca Lillian Capua,,,,Metropolitan Museum of Art,"Assistant Conservator, Paper Conservation","MA '07, IFA (GSAS/History of Art and Archaeology); CERT '07, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Non-profit Arts Administration,Mr. Patrick Cardon,,,,"The Museum in the Streets, LLC",Director,"MA '76, IFA (GSAS/Fine Arts)"
Education,Mr. Erik L. Carlson,,,,Woodside Priory School,Dean of Students,"MA '94, IFA (GSAS/History of Art and Archaeology)"
Curatorial,Ms. Kate Carmel,,,,American Craft Museum,Chief Curator,"XX '63, IFA"
Curatorial,Dr. Dawson W. Carr,,,,Curator of European Art,Janet and Richard Geary,"MA '79, IFA; PHD '87, IFA (GSAS/Fine Arts)"
Conservation,Ms. Ellen Carrlee,,,,Alaska State Museum,Conservator,"CERT '00, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '00, IFA (GSAS/History of Art and Archaeology)"
,Mr. Edward Peter Catto,,,,Ward & Company Works of Art, ,"MA '02, IFA (GSAS/History of Art and Archaeology)"
Miscellaneous,Mr. Francis M. Celentano,,,, ,Painter,"MA '57, IFA"
,Dr. Claude R. Cernuschi,,,,Fine Arts Department,Professor,"MA '83, IFA (GSAS/Fine Arts); PHD '88, IFA (GSAS/Fine Arts)"
,Ms. Cathleen Ann Chaffee,,,,Albright-Knox Gallery,Curator,"PHD '13, IFA (GSAS/History of Art and Archaeology)"
,Ms. Veronique Chagnon-Burke,,,,Christie's Education,Director of Studies/Associate Professor,"MA '90, IFA (GSAS/Fine Arts)"
,Ms. Anne Palms Chalmers,,,,Houghton Mifflin Company,"Art Director, Cookbooks & Guidebooks","MA '69, IFA"
,Mr. Peter S. Champe,,,,"Robert Silman Associates, P.C. Consulting Engineers",Architectural Conservator,"CERT '95, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '95, IFA (GSAS/History of Art and Archaeology)"
,Ms. Nancy Maria Chang,,,,Hong Kong Museum of Art,"Chairman, The Friends of the ","MA '89, IFA (GSAS/Fine Arts)"
,Ms. Esther Hui-Hui Chao,,,,Harvard University,Assistant Conservator,"MA '01, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Mary Weaver Chapin, Ph.D.",,,,The Portland Art Museum,Curator of Prints and Drawings,"MA '95, IFA (GSAS/History of Art and Archaeology); PA '98, IFA (GSAS/Curatorial Studies); PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Ms. Katharine Fuhrmann Chapman,,,,Frick Collection,Deputy Director for External Affairs,"MA '93, IFA (GSAS/History of Art and Archaeology); MBA '99, Stern Graduate (Finance)"
,Ms. Ellen Chase,,,,Freer & Sackler Galleries,Objects Conservator,"CERT '93, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Michele Kelly Chase,,,,Bloomfield College,Assistant Professor of History,"MA '05, IFA (GSAS/History of Art and Archaeology)"
,"Mr. William T. Chase, III",,,,Chase Art Services, ,"CERT '67, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '67, IFA (GSAS/History of Art and Archaeology)"
,"Sheldon L. Cheek, Ph.D.",,,,W. E. B. Du Bois Institute for African,Curatorial Associate,"XX '83, IFA (GSAS/Fine Arts); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Karen Maya Chernick,,,, , ,"MA '11, IFA (GSAS/History of Art and Archaeology)"
,Ms. Andrea Y. Chevalier,,,,Intermuseum Conservation Association,Senior Paintings Conservator,"MA '87, IFA (GSAS/History of Art and Archaeology); CERT '88, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Jennifer Y. Chi, Ph.D.",,,,Institute for the Study of the Ancient World,Exhibitions Director and Chief Curator,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Ms. Ling-Yi Chien,,,,"Art, Culture, and Business Development",Consultancies,"MA '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth Childs-Johnson,,,,US State Department,Senior Cultural Property Consultant,"BA '70, WSC; MA '74, IFA (GSAS/Fine Arts); PHD '84, IFA"
,Ms. Perry Chisoo Choe,,,,Royal Commission on Ancient and Historic Monuments,Project Conservator,"MA '99, IFA (GSAS/History of Art and Archaeology); CERT '99, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Alan D. Chong, Ph.D.",,,,Asian Civilisations Museum (ACM),Director,"MA '81, IFA (GSAS/Fine Arts); PHD '92, IFA (GSAS/History of Art and Archaeology)"
,Ms. Sue Ann Chui,,,,The J. Paul Getty Museum,Assistant Conservator,"MA '99, IFA (GSAS/History of Art and Archaeology); CERT '99, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Yeon Shim Chung, Ph.D.",,,, , ,"MA '98, Education (Decorative Arts); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. J. Mikel Clifford,,,,Minnesota Shakespeare Company,Artistic Director,"MA '66, IFA (GSAS/History of Art and Archaeology)"
,Mr. Brian Michael Coburn,,,,A & E Television Networks,Human Resources,"MA '09, IFA (Museum Studies)"
,Ms. Cheri L. Coffin,,,,Thornton-Donovan School,Middle/High School Teacher of Social Science,"MA '94, IFA (GSAS/History of Art and Archaeology)"
,Dr. Beth Cohen,,,, ,Self-Employed,"MA '70, IFA (GSAS/Fine Arts)"
,Ms. Janie L. Cohen,,,,Robert Hull Fleming Museum,Director,"MA '86, IFA (GSAS/Fine Arts)"
,Dr. Marilyn A. Cohen,,,,Cooper-Hewitt/Bard G.C.,Adjunct Faculty,"BA '70, WSC; MA '73, IFA (GSAS/Fine Arts); PHD '87, GSAS"
,Dr. Ronny H. Cohen,,,,Halstead Property,Sales Associate,"MA '74, IFA (GSAS/Fine Arts)"
,Ms. Sari Neidell Cohen,,,,Neuberger Berman,Collection Manager/AVP,"BA '96, Gallatin (Individualized Major); MA '98, IFA (GSAS/History of Art and Archaeology)"
,"Judith Colton, Ph.D.",,,,Yale University,Professor Emeritus,"MA '65, IFA (GSAS/Fine Arts); PHD '74, IFA (GSAS/Fine Arts)"
,Dr. Carolyn Loessel Connor,,,,University of North Carolina at Chapel Hill,Professor of Classics,"MA '67, GSAS; PHD '87, IFA (GSAS/Fine Arts)"
,"Maura Ann Coughlin, Ph.D.",,,,English & Cultural Studies,Associate Professor of Visual Studies,"PHD '01, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth Anne Coup,,,,Nelson-Atkins Museum,Department Assistant,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,Ms. Alexandra Courcoulas,,,,Canadian Centre for Architecture,Curatorial Intern,"MA '12, IFA (GSAS/History of Art and Archaeology)"
,Professor Nicola M. Courtright,,,,Department of Fine Arts,Associate Dean of the Faculty and Professor,"PHD '90, IFA (GSAS/Fine Arts)"
,Dr. Dario A. Covi,,,,Part-Time Curator of Art Collection,Professor Emeritus,"PHD '58, IFA (GSAS/Fine Arts)"
,Ms. Ann B. Craddock,,,,The Sculpture Center,Executive Director,"MA '91, IFA (GSAS/History of Art and Archaeology); CERT '91, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Mr. Stephen Paul Crenshaw,,,,Providence College,Associate Professor,"MA '96, IFA (GSAS/History of Art and Archaeology); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Ivy Crewdson,,,,Barbara Gladstone Gallery,Curator,"BA '92, Gallatin (Individualized Major); MA '97, IFA (GSAS/History of Art and Archaeology)"
,Ms. Wendy M. Cromwell,,,,"Cromwell Art, LLC",Art Advisor,"MA '90, IFA (GSAS/History of Art and Archaeology)"
,Ms. Dena Crosson,,,,Crosson Fine Art ,Owner/Accredited,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Eszter Gabriella Csicsai,,,,American Council of Learned Societies,"Program Associate, African Humanities Program ","MA '09, IFA (Museum Studies)"
,Dr. Slobodan Curcic,,,, , ,"XX '75, IFA (GSAS/Fine Arts)"
,Professor Kathleen A. Curran,,,,Trinity College,Associate Professor,"XX '81, IFA (GSAS/Fine Arts)"
,Ms. Elizabeth Mize Currie,,,,Currie Capital LLC,Manager,"MA '80, IFA (GSAS/Fine Arts)"
,Ms. Michelle-Louise C. Da Re,,,,Law Offices of DaRe & Gough,Owner/Attorney,"MA '93, IFA (GSAS/History of Art and Archaeology)"
,"Magdalena Dabrowski, Ph.D.",,,,"Metropolitan Museum of Art, Dept. of",Special Consultant,"MA '72, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/History of Art and Archaeology)"
,Ms. Kristi Anne Dahm,,,,Art Institute of Chicago,Assistant Conservator of Prints & Drawing,"MA '02, IFA (GSAS/History of Art and Archaeology); CERT '02, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Maria F. P. Saffiotti Dale,,,,University of Wisconsin-Madison,"Curator of Paintings, Sculpture, & Decorative Arts","PA '94, IFA (GSAS/Curatorial Studies)"
,Ms. Rachel L. Danzing,,,,Brooklyn Museum,Associate Paper Conservator,"MA '91, IFA (GSAS/History of Art and Archaeology); CERT '92, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Professor Benjamin David,,,,Lewis & Clark College,Associate Professor of Art History,"BA '91, WSC (Fine Arts); MA '93, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Suzanne L. Davis,,,,Kelsey Museum of Archaeology,Curator (Head) of Conservation,"MA '97, IFA (GSAS/History of Art and Archaeology); CERT '98, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Lacy Davisson-Doyle,,,,"Artview NYC, LLC",Founder,"MA '81, IFA (GSAS/Fine Arts)"
,Dr. Kim T. de Beaumont,,,,"Hunter College, CUNY",Adjunct Professor,"XX '75, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,Mr. Jean-Francois DeLaperouse,,,,"Met Museum of Art, The Sherman", ,"MA '87, IFA (GSAS/History of Art and Archaeology); CERT '89, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Emily M. Dellheim,,,, ,NYU Graduate Student,"BA '08, Gallatin (Individualized Major); MA '14, IFA (GSAS/History of Art and Archaeology)"
